"summary","behaviour","freq","O1","N1","C1","O2","N2","C2","filledO1","voicedO2","voiced_second_consonant","gcm_naive","gcm_inf","gcm_naive_fea","gcm_inf_fea","mgl"
"l o"" = k i = m.","m",4,"l","o""","=","k","i","=",TRUE,FALSE,FALSE,-1.1244255111428,-0.567258378597174,-0.0442829169380809,-0.874033068585275,0.283103716786065
"p o"" = sz e = m.","m",4,"p","o""","=","sz","e","=",TRUE,FALSE,FALSE,-0.904341063128318,-0.758319866803533,-0.4352376917112,-0.735298919867449,-0.618816507813437
"r i = zs a = m.","m",4,"r","i","=","zs","a","=",TRUE,TRUE,TRUE,-0.736317972979607,-0.296433203438096,-0.204021306647346,0.018961687403415,0.596542610968462
"t u"" n c i = b.","b",4,"t","u""","n","c","i","=",TRUE,FALSE,TRUE,0.39837018191072,-1.44709816299328,0.989977851984023,0.716617215435785,0.300871414159574
"= a l v i = b.","b",3,"=","a","l","v","i","=",FALSE,TRUE,TRUE,0.670864138889919,0.595460066752871,1.17137274113255,0.679855464131136,0.381756437181461
"= e = gy e = b.","b",3,"=","e","=","gy","e","=",FALSE,TRUE,TRUE,1.54464653988218,2.4015264520508,0.397806839004883,0.803773277496941,0.198489335855656
"= i = c a = m.","m",3,"=","i","=","c","a","=",FALSE,FALSE,FALSE,-1.42774605342981,-0.900630534969702,-1.86497900546063,-2.39303543871618,-0.296616906889613
"c i = l u = m.","m",3,"c","i","=","l","u","=",TRUE,TRUE,TRUE,-2.36173754822627,-2.44619482984516,-1.82833984306588,-1.05083238523152,-0.244901187243751
"cs i = n i = m.","m",3,"cs","i","=","n","i","=",TRUE,TRUE,TRUE,-0.772621826685011,0.121567698500786,0.664091997428601,1.08839713223374,0.81263791375126
"d u p l a = m.","m",3,"d","u","p","l","a","=",TRUE,TRUE,TRUE,-1.0000928754942,-0.316068821935865,-0.535306104980317,-0.114966265964296,-0.00902315327309183
"f a n k i = m.","m",3,"f","a","n","k","i","=",TRUE,FALSE,TRUE,-0.11222131904202,0.0904882647023797,0.161997018569861,0.187507352532462,0.360144863247867
"h a n c i = m.","m",3,"h","a","n","c","i","=",TRUE,FALSE,TRUE,-1.0523712051039,-1.43028462551645,-0.846902829252103,-0.427556424507309,0.342870343575824
"k i r cs i = m.","m",3,"k","i","r","cs","i","=",TRUE,FALSE,TRUE,-0.470963822494053,-0.359642103001925,0.446457999089822,0.834318627844238,-0.023200828401515
"p u sz k o: = m.","m",3,"p","u","sz","k","o:","=",TRUE,FALSE,FALSE,-0.430588013064345,-0.0128508925605759,-0.346074463133632,-0.700998084892878,-0.618816507813437
"r o n gy o s b.","b",3,"r","o","n","gy","o","s",TRUE,TRUE,TRUE,1.13319315928019,1.80666885246339,1.96836726938993,2.22573421167271,0.730933255820417
"s a j t o s b.","b",3,"s","a","j","t","o","s",TRUE,FALSE,TRUE,1.1876525139629,1.17353700371673,3.79579552123031,3.05005762840766,0.32529290783686
"s u"" = n i = b.","b",3,"s","u""","=","n","i","=",TRUE,TRUE,TRUE,-0.801795031084657,0.240020316881869,-0.229737149046887,0.111690894785697,0.337803285484887
"sz i = j a = m.","m",3,"sz","i","=","j","a","=",TRUE,TRUE,TRUE,-1.00629447702233,-0.328043052838954,0.278181731320328,0.30758518342801,-0.0721566793223918
"= a = r a ny b.","b",2,"=","a","=","r","a","ny",FALSE,TRUE,TRUE,1.11120628074668,2.0003507672385,0.908781551570542,1.3906155552385,0.673802973493638
"= a n n a = b.","b",2,"=","a","n","n","a","=",FALSE,TRUE,TRUE,0.596990895197245,1.22665191298822,0.131908890755197,0.469909819255863,0.0932694221562932
"= e n d i = b.","b",2,"=","e","n","d","i","=",FALSE,TRUE,TRUE,2.18376582908807,2.88577533114802,1.21912602346704,1.72016438022147,0.737669865531152
"= i = z o m b.","b",2,"=","i","=","z","o","m",FALSE,TRUE,TRUE,0.739881186309466,0.888818581001288,-0.300600482227664,0.684179527424062,0.0790998444314884
"= o = k e: = m.","m",2,"=","o","=","k","e:","=",FALSE,FALSE,FALSE,-0.200173960092954,0.110103325088077,-0.103986907293315,-0.745239024015266,-0.130265194837901
"= o r d a s b.","b",2,"=","o","r","d","a","s",FALSE,TRUE,TRUE,1.86517169762055,3.28149729282797,1.30976217632755,1.44380274468119,0.673802973493638
"cs a cs k a = b.","b",2,"cs","a","cs","k","a","=",TRUE,FALSE,FALSE,0.567700914088779,0.248080963783095,-0.0579635228522749,0.0646846117300889,-0.428697403041732
"cs e n g o"": = b.","b",2,"cs","e","n","g","o"":","=",TRUE,TRUE,TRUE,1.79545962945833,2.03648861078801,1.7953300898013,1.84149585480438,0.737669865531152
"cs i l l i = m.","m",2,"cs","i","l","l","i","=",TRUE,TRUE,TRUE,-0.125296784315489,-0.346717890488747,1.35308089556833,1.11515257736845,0.280615406624882
"cs u = sz i = m.","m",2,"cs","u","=","sz","i","=",TRUE,FALSE,FALSE,-0.978545409043071,-1.17702908331875,-1.26484031732067,-1.07782953206365,-0.484811957629626
"f i = k a = m.","m",2,"f","i","=","k","a","=",TRUE,FALSE,FALSE,-0.676341621935426,-0.328289908738337,0.192463112581251,-0.391362393601503,0.0425976742364863
"g u sz t i = m.","m",2,"g","u","sz","t","i","=",TRUE,FALSE,FALSE,0.477791351043464,-0.0843031355595149,0.066107296238541,0.123286841489357,-0.235599272431025
"h o"" r g i = m.","m",2,"h","o""","r","g","i","=",TRUE,TRUE,TRUE,0.0894183165036582,0.383654706754491,0.0941899403437481,0.279606215259836,0.461670906123657
"h o"" r g o"": = m.","m",2,"h","o""","r","g","o"":","=",TRUE,TRUE,TRUE,0.589692902135817,-0.639710412990873,-0.483214725871551,0.34433166319246,0.196785649178369
"k a k s i = m.","m",2,"k","a","k","s","i","=",TRUE,FALSE,FALSE,-0.844117454512421,-0.28331578939463,-0.85434870363016,-0.677415979467467,-0.323777805216074
"k o: = c i = m.","m",2,"k","o:","=","c","i","=",TRUE,FALSE,FALSE,-1.47199175272936,-0.810054772556952,0.0809825800335999,-0.205502115310838,-1.03789327381668
"k u = l a = m.","m",2,"k","u","=","l","a","=",TRUE,TRUE,TRUE,-1.80793495421949,-1.1566726601083,-0.944274606314391,-1.1789913747187,-0.0964813382774998
